NO.	Name	Nerlé	Óle	Description	Evo. Name	Evo. Nerle	Evo. Ól	NG
1	paskí	pas	kí	stone	faschi	fas	chi	-1.0
3	xuluk	xu	luk	command	xuluk	xu	luk	-1.0
4	sóli	só	li	zero, 0	zól	zól	 	-1.0
6	préma	pré	ma	be the same	frém	frém	 	-1.0
7	léhi	lé	hi	be different	lei	lei	 	-1.0
8	óri	ó	ri	two, 2	óri	ó	ri	-1.0
9	wóhi	wó	hi	now, moment in time	woi	woi	 	-1.0
10	sépalhí	sé	pal, hí	clothes	zévali	zé	val, i	-1.0
11	pensá	pen	sá	happen, occur	fenza	fen	za	-1.0
12	santí	san	tí	three, 3	sandi	san	di	-1.0
13	tostir	tos	tir	be of number, count	toschir	tos	chir	-1.0
14	tláhi	tlá	hi	eight, 8	tlai	tlai	 	-1.0
15	jéhal	jé	hal	die, end	jégal	jé	gal	-1.0
16	hlá	hlá	 	place, location, spot	hlá	hlá	 	-1.0
17	sépo	sé	po	eye	zév	zév	 	-1.0
18	lími	lí	mi	tree bark, skin (informal)	lím	lím	 	-1.0
19	sélep	sé	lep	ear, side-entrance	zélep	zé	lep	-1.0
20	tó	tó	 	you (plural)	tó	tó	 	-1.0
21	póhi	pó	hi	hold, grasp	poi	poi	 	-1.0
22	tahhu	tah	hu	they	tau	tau	 	-1.0
23	lekkem	lek	kem	nose, front-entrance decoration	lekkem	lek	kem	-1.0
24	nésa	né	sa	be born, start	nés	nés	 	-1.0
25	ré	ré	 	you (singular)	ré	ré	 	-1.0
26	tlensol	tlen	sol	sleep	tlensol	tlen	sol	-1.0
27	issí	is	sí	we	isshi	is	shi	-1.0
28	ítli	í	tli	flower	ítli	í	tli	-1.0
29	xentu	xen	tu	I	xendu	xen	du	-1.0
30	nar	nar	 	mouth, front-entrance	nar	nar	 	-1.0
31	sé	sé	 	heart	zé	zé	 	-1.0
35	usmí	us	mí	seven, 7	usmi	us	mi	-1.0
36	lissá	lis	sá	tongue	lissa	lis	sa	-1.0
37	jó	jó	 	question particle, ?	jó	jó	 	-1.0
38	hátje	há	tje	under, beneath	áche	á	che	-1.0
40	tílo	tí	lo	above, on top of	chíl	chíl	 	-1.0
41	kal	kal	 	far, distant	kal	kal	 	-1.0
42	ná	ná	 	encouragement particle, !	ná	ná	 	-1.0
43	xupí	xu	pí	neck	xuvi	xu	vi	-1.0
44	su	su	 	close, near	su	su	 	-1.0
45	éki	é	ki	small, little	éq	éq	 	-1.0
46	njes	njes	 	piece, part	njes	njes	 	-1.0
47	rákuhl	rá	kuhl	shadow	ráquhl	rá	quhl	-1.0
48	rínu	rí	nu	money, currency	rín	rín	 	-1.0
52	pé	pé	 	path	pé	pé	 	-1.0
53	ója	ó	ja	many, lots	ój	ój	 	-1.0
55	mah	mah	 	large, big	ma	ma	 	-1.0
56	táhu	tá	hu	arm, tree branch	tau	tau	 	-1.0
60	makpó	mak	pó	hide something, conceal	mappo	map	po	-1.0
62	hlé	hlé	 	give	hlé	hlé	 	-1.0
68	sá	sá	 	be in state of	zá	zá	 	-1.0
70	ohráte	oh	rá, te	teach	orádhe	o	rá, dhe	-1.0
72	tlé	tlé	 	come	tlé	tlé	 	-1.0
74	tóle	tó	le	tree	tól	tól	 	-1.0
76	uspó	us	pó	back, basis, foundation	uspo	us	po	-1.0
77	hax	hax	 	throat	ax	ax	 	-1.0
78	áhi	á	hi	go, move	ai	ai	 	-1.0
79	ankómi	an	kó, mi	sky	angóm	an	góm	-1.0
80	pannil	pan	nil	non-royal	fannil	fan	nil	-1.0
81	póxot	pó	xot	hand - make, create (concrete)	póxot	pó	xot	-1.0
82	tonnu	ton	nu	household/family member	tonnu	ton	nu	-1.0
83	tlóxi	tló	xi	thought, idea	tlóx	tlóx	 	-1.0
84	ekpónal	ek	pó, nal	understand	eppónal	ep	pó, nal	-1.0
